Email Campaign Report,,,,
Title:,MPULSE March Newsletter (copy 02),,,
Subject Line:,MPULSE March Newsletter,,,
Delivery Date/Time:,"Wed, Mar 18, 2020 4:34 am",,,
,,,,
Overall Stats,,,,112.815
Total Recipients:,"8,525",,,
Successful Deliveries:,"7,521",,,
Bounces:,"1,004 (11.8%)",,,
Times Forwarded:,0,,,
Forwarded Opens:,0,,,
Recipients Who Opened:,"1,388 (18.5%)",,,
Total Opens:,"1,725",,,
Last Open Date:,4/7/20 4:34AM,,,
Recipients Who Clicked:,23 (0.3%),,,
Total Clicks:,33,,,
Last Click Date:,3/30/20 12:51PM,,,
Total Unsubs:,18,,,
Total Abuse Complaints:,0,,,
Times Liked on Facebook:,0,,,
,,,,
Clicks by URL,,,,
URL,Total Clicks,Unique Clicks,,
Opportunities link,12,9,,
https://mtnonline.com/mpulse,9,7,,
https://www.facebook.com/MTNLoaded,5,2,,
http://www.mtnonline.com/mpulse,4,3,,
https://mpulse.mtnonline.com,3,3,,
